business_id,name
vJIuDBdu01vCA8y1fwR1OQ,CakesbyToi
kgffcoxT6BQp-gJ-UQ7Czw,Subway
0jtRI7hVMpQHpUVtUy4ITw,Omelet House Summerlin
JJEx5wIqs9iGGATOagE8Sg,Baja Fresh Mexican Grill
zhxnD7J5_sCrKSw5cwI9dQ,Popeyes Louisiana Kitchen
2kWrSFkIes_d2BMg4YrRtA,Pizza Hut
6llKs7K_tn8ChXcIM-oTvg,Sansei Japan
YV9GVfmDSDM7HSV0jVdTOA,El Pollo Loco
F7OsiFk9aLZtqZczA84xpw,Popeyes Louisiana Kitchen
XeDLyY2a7nZ3IEY4RYslXA,Chicago Brewing Company
MDVbJicJvqaO4WGx0vEabQ,Chili's
sOkQ2Y1-D8h18oN5NgxuLg,Haddies Car Wash and Convenience store
lv5Bnqlt93NnvNJ2oNcQ8Q,Los Cucos Mexican Cafe
D1TaFES4phv65RmsM8VCiA,Domino's Pizza
glkEaoxbewiSMBiXs945JA,800 Degrees
lYCeqldIiOggsbByH3RRhw,Metro Pizza
juuv0QPE_MfnVjevQTpCDg,Manhattan Streets
DbK9fyJq4O4zfT1jv6JOhw,Pam Real Thai Las Vegas
PChG1Dm0A6AXIXkXGVK8Fw,Sasa Sushi
owxcYAUca_6K6BAUX4V48w,D'Pinoy Joint
WSGHEQdcdbBWXDpna99EiQ,Teriyaki Madness
0aDCv4zPhzy7RklHDrnKQg,Lucie's Lounge
rWkQMRI6PRo5woBaxGD68g,Viva Café Espresso Bar
Kx0MUrNQ737s-VVElk6Vig,Las Delicias De Las Vegas
FW_zg6VuyW5v_vM394gWAw,Rocco's NY Pizzeria
r8Jr-7YfkhJL2nxk9lxUNg,Frank & Fina's Cocina
yUqJReOv26454QkjGz37Yw,Shobu
NGp1HTYrPg3pMP-tXeLf-g,Fatburger
kDZm3fZcLhotRwC50XE_qg,Super B Burrito
stbX9rtRIpDF-VymOwHJ8w,Nu Sanctuary Lounge
cQzFj5GNz8l_VMJJnW4mLw,The Edge of Town
YYRP-b61hjDljhWBfmUlDg,KFC
oJ7mF-fW8GuEoUZ8BSA37Q,Aquatic Treasures
dn_ipqbm7_jUz5X3rDez_A,Todd English P.U.B.
ZosrzTfiiPhbURA04AQTUA,Pyramid Cafe
qrjRRBOUmN7MFxBQNuJZIA,Checkers
5yZ1XmDcOEsElDeb9PlPDQ,Yagyu Ramen
joykx2LTxkBKvh-fEk4aKw,Lucio Ristorante
FbayoQWK77lRJ7Luo2WKlA,Panda Express
2QznyHGF0PuiYkrl5RU66A,Playa Papagayos
3Nx9NCzMTXC6jFgdk2mDGg,Charlie's Market Buffet
lYlVsbhDrglWDdhh7OTM2w,Rendezvous Cafe
LPnbHWVedn2oX3WGkHOJSQ,Jason's Deli
GH5gbLHw05toW6ePNIUzTw,Los Toritos Express
aF6cB7BtV3lXQhJoLuESGw,La Mojarra Loca
ibFdignja_hNpgCjDYP7Ug,Wahoo's Fish Tacos
HV2vPReKp0n0E6zgjsu4Mg,Garnachas Mexican Street Food
tzoUxh1HXllUijtAkO6w0Q,Peking Express Chinese Restaurant
G8SFOD9TKCSic2o0hyKc0Q,Ace Of Steaks
GvSb0uWmBsB58jbzpogciQ,Tina's Gourmet Sausage House
3-Bm90nXNtwLFyDtlj9olQ,Myung Sung
H99aadKfIQ3RZ6joDn7FuQ,Subway
RMXjpVB2eg8srPIIdWGLsw,Taste My Love
Z5eukYH32_nFljOTC2DJ0g,Grimaldi's Pizzeria
TDTASGFy_aGp6vy0i23mDA,Jack in the Box
pybIuTluqRhH_BQ3CJHlLw,Pin Kaow Thai
mkZFZkuue9am7PRp9dt1jA,La Original Michoacana
f4vb5tv60WaBcwzRhKpANA,Nanny's
wYEAocX0vkcGN-i5rSszrg,El Patron Mexican Restaurant & Oyster Bar
kcxD07NmyWxAHvrzS7LD8A,Love Empanadas
7qFtiPg0gdbk911_mj6LoA,The Broiler
YHN7wVaOFp9wkl_w7NXLXw,Kens Burgers and Pizza
ZtdCS8XjmL4P6BvMOIQWag,Zaba's Mexican Grill
KSkjE3krqsovBs7iC4x7ng,Denny's
KjV_68oLLSpqR96VnV68tw,Roberto's Taco Shop
JWN22sQ7cl9KjmIk0nMbUg,Taco Bell
Vn-Xqc1qkF1Vh2Z-wHkBVw,Bagels And Subs
oL_fYqSHG63vR0TBMyoo_A,Green Leaf's & Bananas
Oqqnw0Rz77sMDPHS_eN2aA,Jersey Mike's Subs
O7godQv-9pyQJ2JvCMiQjw,Tokyo Peking Asian Restaurant
MsQTe82TCbZXDPG4LOgVoA,Port of Subs
OM31QC8tyTOXZgK0FDz_hw,Del Taco
wWuGa3OOQJro_XGe-GKBXA,Kabuto
Dfbg3m2ce1VUzJ5i6Z7IuA,Desnudo Tacos
LFs5jyYdXlzi0SpAYi1eSA,Maggiano's Little Italy
F3iG7XyIsojEfFFMGXAVEQ,Papa John's Pizza
mvMih24zuSw_dZyU_LEY7g,Pizza Hut
IeUTC__Ec2erX1QSidsvNw,Subway
ajwGl90CuCZac3BKWY1ShQ,McDonald's
xd-AnaGxEMKT2zTEheP6_w,Tony Marcs 420 Eats
vfqUUh_5KF3R7mz2XiNXGg,Tokyo Peking Asian Restaurants
w55IYhyLHUdsRlo_EvMmNQ,Table 89
fp1AV66Uq9mo_9ZhZIIpcQ,Pizza Hut
TkrydveE1Laf_LHoKFALNw,Hunan Jiu Jia
IeXVSmtOx0-kntCM_ZX0Zw,Chia Vera Health Bar
CiAZtA0C8AYcPdaaKt816A,Carl's Jr.
d6_51PI94EC1C5sG9hi6HA,Timbers - Novat
ElM8yyW45TAy4vjApwy7ZQ,Jadon Foods
A9IUE1W6TfVXfSC6LkrWCw,White Rabbit Cafe 2
VWnMgGRexZMGFs7IrQR_9Q,LV bar
wHxe_D6_MPhMLNuHVLMIqQ,Don Tortaco
zZkzpVgMP8xaXg3uMscCjQ,PizzaRev
Lb9rNNCbF6gL5EM6znWJUA,Subway
09a8Mrd3STr4AxokKgbZHA,Sushi Avenue 2
VGWEpMEkzQopS5lUNd06Sw,Miller's Ale House - Las Vegas
QcWSAa1R7jL-KQLzMSXF_A,Smoke N Sams
vFfU79z5a5jQaQA_ka2ftA,Distill - A Local Bar
DKXUkIrFnMUMF535gf-dPA,Frijoles & Frescas Grilled Tacos
hmgbkFngXKjpWqJItOPYpA,Tropical Smoothie Cafe - Excalibur
Wg91oE233AzNieNryRJYYg,Applebee's Grill + Bar
ZKgRlphtyvKNl2sa0Mz2LA,Strip Jerky
0OdZXIKQypu6vplpxFilsA,Kneaders Bakery & Cafe
7usumJrTK_qs2GbSd8zIvg,Wake Up Coffee Cafe
I01C9Xg_SVyMrQSGIGeQ-g,California Pizza Kitchen
45513UgSlMqWV_yAPVkXrg,Verona Pizza
AoGCnRtwifZ2gTGHtg8KTw,Tokyo Sushi House
2Q9Mgkc7iFHuKoD_z7kJkQ,Lokuras
mwE5uNVkxCXvEuVa1KQ_3g,Distill - A Local Bar
5TY6bUT3bbl9aHItiIXXqw,Big Al's Oyster Bar
QXA7hvR4mhGwwLCNyRRCXg,Sushi Culiacan
uUlq6chIVb0I8AehlET5bQ,Jack in the Box
avBS62WEvwWyoDWBXAlxmg,Subway
yGd87bkFijZ6YHrHtW5maA,Basil Thai Fusion
D_mVIUu5XyrHz-7U_z_pDg,Nove Italiano
REM8BezFuK4MQ6j2k1I7-Q,Griddlecakes
3mpBYH3k_lfzycajGtkggQ,Sandwich Carvery 108
oXozyDYGP0GhwBxVIP-NZg,Spicy Pickle
cQQbBa_Ls6Gr7Prv-qeZXw,Panera Bread
eZCftIgMLs4cKvT9NWxx_A,Domino's Pizza
eRQwgSQD1KyCmJk_PAGOXQ,Thai Cuisine
me17NOULVwu40AdKGYHIaQ,Rocco's Ny Pizza & Pasta
OgnEQFk9HmF6jGVM3hUM2Q,Robertos Taco Shop
hpg2c5vFer85hvTnun2mNg,Kilawat
WcGKG8_rDVBVx6lSTlWiDA,Cafe Rio
JdoBiBRgeS_KKaNaU1sofA,Dong Ting Spring
Y9oYrGHiMyRIRaudSWomzg,Teriyaki Madness
cJMgxJ_GDg0a1KEkXPVaug,Nicolo's Cucina Italiana
VeiL_tgw7dsl-7IcnOsh0g,Sushi Hiro
tH0wF3EPPgAY14lnmK1_Sg,Makai Pacific Island Grill
jovBGZAYjGRusbKPnePufA,Brown Rice Thai Kitchen
vmg_VdqXVOVhUoacU2pfdw,The Bar @ Las Vegas Blvd & Wigwam
LUdKbgaPZ7F48u9zn7ozFg,Jack In the Box
IOEGLxXwCNiq4P-U359D7Q,Those Guys Pies
JTknlKD6bviJZLngdpbydw,Chicken Now
-RJ216TTIghZshCkUlD1WQ,Sushi Takashi
xRaHt2GknSD7yermc-fxYQ,Seven Seas Restaurant & Lounge
vl1aHp6pvnSmpoRQShWLjg,Lucille's Smokehouse Bar-B-Que
rvnTFEq7R2ZHg0_CYbBNFw,Village Seafood Buffet
ZQBUBnccfiCzQTrEwNy-xw,All American Dave's Fit Food Truck
